Time, T, CJC, PV, PSI, 15:03:2021
13:30:08,16.75,10002,0.009,0.012,
13:30:09,16.75,10002,0.009,0.012,
13:30:10,16.75,15.5,0.009,0.012,
13:30:11,16.75,15.5,0.009,0.012,
13:30:12,16.75,10002,0.009,0.012,
13:30:13,16.75,10002,0.004,-0.186,
13:30:14,16.75,15.5,0.004,-0.186,
13:30:15,16.75,10002,0.009,0.012,
13:30:16,16.75,10002,0.009,0.012,
13:30:17,16.75,15.25,0.009,0.012,
13:30:18,16.81,15.5,0.009,0.012,
13:30:19,16.75,10002,0.004,-0.186,
13:30:20,16.75,10002,0.009,0.012,
13:30:21,16.75,15.25,0.014,0.21,
13:30:22,16.75,10002,0.014,0.21,
13:30:23,16.75,10002,0.009,0.012,
13:30:24,16.75,14.75,0.009,0.012,
13:30:25,16.75,15.25,0.014,0.21,
13:30:26,16.75,10002,0.009,0.012,
13:30:27,16.75,10002,0.004,-0.186,
13:30:28,16.75,15,0.009,0.012,
13:30:29,16.75,15.5,0.004,-0.186,
13:30:30,16.75,10002,0.004,-0.186,
13:30:31,16.75,14.5,0.004,-0.186,
13:30:32,16.75,15,0.009,0.012,
13:30:33,16.75,0,0.014,0.21,
13:30:34,16.75,10002,0.004,-0.186,
13:30:35,16.81,14.5,0.004,-0.186,
13:30:36,16.81,15.5,0.009,0.012,
13:30:37,16.81,0,0.009,0.012,
13:30:38,16.75,15,0.009,0.012,
13:30:39,16.81,14.75,0.014,0.21,
13:30:40,16.81,10001,0.014,0.21,
13:30:41,16.81,10001,0.009,0.012,
13:30:42,16.81,15.25,0.004,-0.186,
13:30:43,16.75,14.75,0.009,0.012,
13:30:44,16.75,10001,0.014,0.21,
13:30:45,16.81,10001,0.004,-0.186,
13:30:46,16.81,15.5,0.014,0.21,
13:30:48,16.81,10001,0.004,-0.186,
13:30:49,16.81,10001,0.009,0.012,
13:30:50,16.81,15.75,0.014,0.21,
13:30:51,16.81,15.5,0.014,0.21,
13:30:52,16.81,10001,0.009,0.012,
13:30:53,16.75,10001,0.009,0.012,
13:30:54,16.81,15.5,0.004,-0.186,
13:30:55,16.81,10001,0.009,0.012,
13:30:56,16.81,10001,0.014,0.21,
13:30:57,16.81,15.5,0.004,-0.186,
13:30:58,16.81,15.5,0.014,0.21,
13:30:59,16.81,10001,0.009,0.012,
13:31:00,16.81,10001,0.004,-0.186,
13:31:01,16.81,15.5,0.009,0.012,
13:31:02,16.81,15.25,0.009,0.012,
13:31:03,16.81,10001,0.014,0.21,
13:31:04,16.81,14.75,0.009,0.012,
13:31:05,16.81,15.25,0.004,-0.186,
13:31:06,16.87,10001,0.004,-0.186,
13:31:07,16.81,10001,0.009,0.012,
13:31:08,16.81,14.75,0.014,0.21,
13:31:09,16.81,15,0.014,0.21,
13:31:10,16.81,10001,0.014,0.21,
13:31:11,16.81,15.5,0.004,-0.186,
13:31:12,16.81,15.25,0.014,0.21,
13:31:13,16.81,10001,0.009,0.012,
13:31:14,16.81,10001,0.004,-0.186,
13:31:15,16.87,15,0.009,0.012,
13:31:16,16.81,15.5,0.009,0.012,
13:31:17,16.81,10001,0.009,0.012,
13:31:18,16.81,10001,0.014,0.21,
13:31:19,16.87,15.25,0.014,0.21,
13:31:20,16.87,10001,0.009,0.012,
13:31:21,16.87,10001,0.009,0.012,
13:31:22,16.81,10002,0.004,-0.186,
13:31:23,16.87,10002,0.009,0.012,
13:31:24,16.81,15,0.009,0.012,
13:31:25,16.87,15.25,0.004,-0.186,
13:31:26,16.81,10002,0.004,-0.186,
13:31:27,16.87,15.5,0.009,0.012,
13:31:28,16.87,15.5,0.014,0.21,
13:31:29,16.87,0,0.004,-0.186,
13:31:30,16.81,0,0.004,-0.186,
13:31:31,16.87,15.5,0.004,-0.186,
13:31:32,16.81,15.75,0.009,0.012,
13:31:33,16.87,10001,0.014,0.21,
